State,Talent,SOC,Occupation,Employment_2025,Employment_2024,Total_State_Employment_2025,Projection_Base,Projection_2034,Annual_Openings,Average_Annual_Salary_USD
Arkansas,Technical,17-1022,Surveyors,550.0,520.0,1303630,560.0,610.0,40.0,58160.0
Arkansas,Technical,17-2011,Aerospace Engineers,180.0,130.0,1303630,140.0,170.0,10.0,102100.0
Arkansas,Technical,17-2041,Chemical Engineers,290.0,170.0,1303630,180.0,190.0,10.0,114140.0
Arkansas,Technical,17-2051,Civil Engineers,1870.0,1710.0,1303630,1810.0,1960.0,120.0,89500.0
Arkansas,Technical,17-2061,Computer Hardware Engineers,160.0,40.0,1303630,40.0,50.0,0.0,120220.0
Arkansas,Technical,17-2071,Electrical Engineers,900.0,930.0,1303630,940.0,1030.0,60.0,99960.0
Arkansas,Technical,17-2072,"Electronics Engineers, Except Computer",150.0,260.0,1303630,260.0,260.0,10.0,106450.0
Arkansas,Technical,17-2112,Industrial Engineers,1710.0,1640.0,1303630,1650.0,1950.0,140.0,102090.0
Arkansas,Technical,17-2131,Materials Engineers,90.0,110.0,1303630,110.0,130.0,10.0,112240.0
Arkansas,Technical,17-2141,Mechanical Engineers,1410.0,1150.0,1303630,1180.0,1320.0,80.0,88340.0
Arkansas,Technical,17-2199,"Engineers, All Other",820.0,580.0,1303630,610.0,660.0,40.0,87660.0
Arkansas,Technical,17-3011,Architectural and Civil Drafters,980.0,820.0,1303630,820.0,930.0,80.0,65910.0
Arkansas,Technical,17-3013,Mechanical Drafters,250.0,420.0,1303630,450.0,450.0,40.0,64200.0
Arkansas,Technical,17-3023,Electrical and Electronic Engineering Technologists and Technicians,310.0,410.0,1303630,410.0,440.0,40.0,71300.0
Arkansas,Technical,17-3031,Surveying and Mapping Technicians,810.0,870.0,1303630,940.0,990.0,120.0,50190.0
Arkansas,Technical,49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",7590.0,7090.0,1303630,7240.0,7790.0,660.0,74460.0
Arkansas,Technical,49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",330.0,450.0,1303630,460.0,460.0,40.0,68170.0
Arkansas,Technical,49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",4960.0,4890.0,1303630,5120.0,5790.0,520.0,51150.0
Arkansas,Technical,49-9041,Industrial Machinery Mechanics,6270.0,6770.0,1303630,7030.0,8520.0,780.0,61020.0
Arkansas,Technical,49-9044,Millwrights,1140.0,1080.0,1303630,1080.0,1130.0,100.0,55730.0
Arkansas,Technical,49-9051,Electrical Power-Line Installers and Repairers,1510.0,1560.0,1303630,1600.0,1790.0,150.0,83100.0
Arkansas,Technical,51-1011,First-Line Supervisors of Production and Operating Workers,11000.0,10910.0,1303630,11030.0,11700.0,1150.0,69930.0
Arkansas,Technical,51-4041,Machinists,2150.0,2390.0,1303630,2400.0,2450.0,240.0,55180.0
Arkansas,Technical,51-4111,Tool and Die Makers,290.0,350.0,1303630,350.0,320.0,30.0,56370.0
Arkansas,Technical,51-4121,"Welders, Cutters, Solderers, and Brazers",6150.0,7240.0,1303630,7710.0,8180.0,820.0,50020.0
Arkansas,Technical,51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",230.0,220.0,1303630,220.0,210.0,20.0,52750.0
Arkansas,Technical,51-8013,Power Plant Operators,220.0,240.0,1303630,240.0,220.0,20.0,90450.0
Arkansas,Technical,51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",1100.0,1080.0,1303630,1080.0,1040.0,100.0,47640.0
Arkansas,Technical,51-9141,Semiconductor Processing Technicians,40.0,70.0,1303630,70.0,60.0,0.0,42140.0
California,Digital,15-1211,Computer Systems Analysts,59060.0,55460.0,18213700,62000.0,68000.0,4150.0,130480.0
California,Digital,15-1212,Information Security Analysts,15570.0,15800.0,18213700,15800.0,20400.0,1400.0,149090.0
California,Digital,15-1221,Computer and Information Research Scientists,8440.0,8570.0,18213700,8800.0,11100.0,770.0,168580.0
California,Digital,15-1241,Computer Network Architects,14870.0,19800.0,18213700,15300.0,17100.0,960.0,161350.0
California,Digital,15-1242,Database Administrators,7240.0,8360.0,18213700,7400.0,7500.0,380.0,121500.0
California,Digital,15-1243,Database Architects,6210.0,5850.0,18213700,6300.0,6900.0,390.0,175330.0
California,Digital,15-1244,Network and Computer Systems Administrators,26170.0,28730.0,18213700,26900.0,25700.0,1150.0,115210.0
California,Digital,15-1251,Computer Programmers,11340.0,14720.0,18213700,13000.0,12500.0,620.0,119900.0
California,Digital,15-1252,Software Developers,284390.0,292630.0,18213700,290800.0,344400.0,20730.0,186770.0
California,Digital,15-1253,Software Quality Assurance Analysts and Testers,27710.0,31530.0,18213700,27900.0,30500.0,1910.0,131260.0
California,Digital,15-1254,Web Developers,7320.0,10820.0,18213700,7800.0,8500.0,500.0,122890.0
California,Digital,15-1255,Web and Digital Interface Designers,27090.0,27210.0,18213700,30200.0,34400.0,2400.0,146210.0
California,Digital,15-2031,Operations Research Analysts,10620.0,11030.0,18213700,11100.0,13600.0,960.0,110860.0
California,Digital,15-2041,Statisticians,2480.0,2810.0,18213700,2600.0,3000.0,180.0,140780.0
California,Digital,15-2051,Data Scientists,39310.0,36850.0,18213700,40400.0,55400.0,4020.0,156000.0
California,Technical,17-1011,"Architects, Except Landscape and Naval",13270.0,13880.0,18213700,14700.0,15800.0,980.0,121910.0
California,Technical,17-1021,Cartographers and Photogrammetrists,1450.0,1070.0,18213700,1500.0,1600.0,110.0,103690.0
California,Technical,17-1022,Surveyors,4520.0,3750.0,18213700,4700.0,5000.0,340.0,110220.0
California,Technical,17-2011,Aerospace Engineers,9170.0,9330.0,18213700,9600.0,10200.0,610.0,159960.0
California,Technical,17-2041,Chemical Engineers,2190.0,1260.0,18213700,2400.0,2400.0,120.0,
California,Technical,17-2051,Civil Engineers,55180.0,54640.0,18213700,56100.0,60700.0,3830.0,124540.0
California,Technical,17-2061,Computer Hardware Engineers,19820.0,24200.0,18213700,20400.0,22000.0,1280.0,190590.0
California,Technical,17-2071,Electrical Engineers,24230.0,23650.0,18213700,24700.0,26500.0,1510.0,151180.0
California,Technical,17-2072,"Electronics Engineers, Except Computer",20830.0,19560.0,18213700,21500.0,21600.0,1130.0,161520.0
California,Technical,17-2112,Industrial Engineers,32680.0,25830.0,18213700,32900.0,36800.0,2400.0,125850.0
California,Technical,17-2131,Materials Engineers,3020.0,2760.0,18213700,3000.0,3300.0,200.0,131090.0
California,Technical,17-2141,Mechanical Engineers,30530.0,27090.0,18213700,31200.0,34800.0,2030.0,136660.0
California,Technical,17-2199,"Engineers, All Other",28610.0,26500.0,18213700,29800.0,31700.0,1910.0,139670.0
California,Technical,17-3011,Architectural and Civil Drafters,11400.0,12950.0,18213700,11400.0,12200.0,1070.0,80360.0
California,Technical,17-3012,Electrical and Electronics Drafters,2730.0,3020.0,18213700,3000.0,2700.0,220.0,89900.0
California,Technical,17-3013,Mechanical Drafters,3640.0,3360.0,18213700,3900.0,3700.0,300.0,86750.0
California,Technical,17-3023,Electrical and Electronic Engineering Technologists and Technicians,13450.0,12460.0,18213700,13700.0,13300.0,1150.0,93750.0
California,Technical,17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,1850.0,1620.0,18213700,1900.0,2000.0,170.0,92350.0
California,Technical,17-3027,Mechanical Engineering Technologists and Technicians,3660.0,3300.0,18213700,3700.0,3900.0,330.0,91570.0
California,Technical,17-3031,Surveying and Mapping Technicians,3340.0,3670.0,18213700,3400.0,3700.0,460.0,81840.0
California,Technical,49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",51670.0,51520.0,18213700,52300.0,54800.0,4550.0,98440.0
California,Technical,49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",5830.0,5140.0,18213700,5900.0,6200.0,510.0,91820.0
California,Technical,49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",35130.0,34020.0,18213700,37400.0,42200.0,3770.0,75370.0
California,Technical,49-9041,Industrial Machinery Mechanics,26830.0,25790.0,18213700,28300.0,32200.0,2860.0,76060.0
California,Technical,49-9044,Millwrights,2230.0,2490.0,18213700,2300.0,2300.0,210.0,84220.0
California,Technical,49-9051,Electrical Power-Line Installers and Repairers,8930.0,11070.0,18213700,9000.0,9700.0,770.0,125270.0
California,Technical,49-9081,Wind Turbine Service Technicians,400.0,390.0,18213700,,,,86120.0
California,Technical,51-1011,First-Line Supervisors of Production and Operating Workers,48550.0,51710.0,18213700,49800.0,50600.0,4850.0,82000.0
California,Technical,51-4041,Machinists,18950.0,21580.0,18213700,19200.0,18900.0,1840.0,61380.0
California,Technical,51-4111,Tool and Die Makers,1790.0,1380.0,18213700,1800.0,1600.0,150.0,75120.0
California,Technical,51-4121,"Welders, Cutters, Solderers, and Brazers",26060.0,26100.0,18213700,28500.0,29400.0,2890.0,61120.0
